ders_kodu,dersinadi,ogretimyili,donem,LLM_METIN
BİM454,Programming Language Concepts (Programlama Dili Kavramları),2024-2025,BAHAR,"DERS KODU: BİM454 | DERS ADI: Programming Language Concepts (Programlama Dili Kavramları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 70/0
- DETAYLI İÇERİK: Giriş; Programlama Dillerinin Gelişim Süreci; Programlama Dillerinin Sentaks ve Semantiği; Programlama Dillerinin Tanımı için Kullanılan Formel Yöntemler; Liksiksel ve Sentaks Analizi; Parselleme Problemi; İsimler; Bağlantılar; Tipin Kontrolü ve Etkinlik Alanları; Veri Tipleri; İfadeler ve Atama Komutları; Kontrol Yapıları; Alt Program Mekanizması; Soyut Veri Tipleri Oluşturma İlkeleri ve Örnekler; Nesneye Yönelik Programlama; Uyumlu (Concurrent) Seviyeler; İstisnaların Oluşturulması; Fonksiyonel ve Mantıksal Programlama Dilleri.
---
"
BİM449,Introduction to Game Programming (Oyun Programlamaya Giriş),2024-2025,GÜZ,"DERS KODU: BİM449 | DERS ADI: Introduction to Game Programming (Oyun Programlamaya Giriş)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 80/0
- DETAYLI İÇERİK: Oyun Programlamaya Giriş: Oyun programlama ve grafik programlamanın farkları, Oyun zamanı ve gerçek zaman; Oyun Programlama için Lineer Cebir: Nesne, kamera ve gerçek dünya koordinat sistemleri; İki Boyutlu Oyun Programlama; Üç Boyutlu Oyun Programlama: Işık modelleri, Perspektif dönüşümler; Oyun için Girdi, Ses, ve Fizik; Oyun Programlamada Yapay Zeka Kullanımı; Grafik Ara Yüzleri; Komut Dosyası Dilleri ve Veri Biçimleri; Ağa Bağlı Oyunlar.
---
"
BİM486,Bilgisayar Bilimlerinde Araştırma II,2024-2025,BAHAR,"DERS KODU: BİM486 | DERS ADI: Bilgisayar Bilimlerinde Araştırma II
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 1/0
- DETAYLI İÇERİK: Öğrencilere Bilgisayar Bilimleri alanında yapılan akademik çalışmaklara yatkınlık kazandırmak hedeflenmektedir. Bunun için öğrenciler danışmanlarının belirlediği akademik bir projede rol alırlar. Dağıtık ve Paralel Sistemlerde Araştırma: Depolama Mimarileri ve Dosya Sistemleri, Grid Hesaplama, Ajan-tabanlı Hesaplama; Doğal Dil Işlemede Araştırma: Türkçe Metin Analizi, Kelime Yapısı, Arama Algoritmaları ve Öğrenilebilir Sıralayıcılar; Gizliliği koruyarak Veri İşleme Araştırmaları: Gizlilik, Gizliliği Koruyarak Dağıtık Veri Tabanlı Veri İşleme Fonksiyonları, Gizliliği Koruyarak Veri İşleme, Gizliliği Koruyarak İşbirlikçi Filtreleme; Sinir Ağlarında Araştırma: Çok-katmanlı Algılayıcılar, Özyinelemeli Sinir Ağları, Bulanık Sinir Ağları, Dalgacık Sinir Ağları, Fonksiyon Öğrenme.
---
"
BİM486,Research in Computer Science II (Bilgisayar Bilimlerinde Araştırma II),2024-2025,BAHAR,"DERS KODU: BİM486 | DERS ADI: Research in Computer Science II (Bilgisayar Bilimlerinde Araştırma II)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 1/0
- DETAYLI İÇERİK: Öğrencilere Bilgisayar Bilimleri alanında yapılan akademik çalışmaklara yatkınlık kazandırmak hedeflenmektedir. Bunun için öğrenciler danışmanlarının belirlediği akademik bir projede rol alırlar. Dağıtık ve Paralel Sistemlerde Araştırma: Depolama Mimarileri ve Dosya Sistemleri, Grid Hesaplama, Ajan-tabanlı Hesaplama; Doğal Dil Işlemede Araştırma: Türkçe Metin Analizi, Kelime Yapısı, Arama Algoritmaları ve Öğrenilebilir Sıralayıcılar; Gizliliği koruyarak Veri İşleme Araştırmaları: Gizlilik, Gizliliği Koruyarak Dağıtık Veri Tabanlı Veri İşleme Fonksiyonları, Gizliliği Koruyarak Veri İşleme, Gizliliği Koruyarak İşbirlikçi Filtreleme; Sinir Ağlarında Araştırma: Çok-katmanlı Algılayıcılar, Özyinelemeli Sinir Ağları, Bulanık Sinir Ağları, Dalgacık Sinir Ağları, Fonksiyon Öğrenme.
---
"
BİM485,Bilgisayar Bilimlerinde Araştırma I,2024-2025,GÜZ,"DERS KODU: BİM485 | DERS ADI: Bilgisayar Bilimlerinde Araştırma I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 24/0
- DETAYLI İÇERİK: Öğrencilere Bilgisayar Bilimleri alanında yapılan akademik çalışmaklara yatkınlık kazandırmak hedeflenmektedir. Bunun için öğrenciler danışmanlarının belirlediği akademik bir projede rol alırlar. Bilgisayar Ağlarında Araştırma: Teke Tek İletişim Ağları; Örtü Ağları; Service Kalite Protokolleri; Algılayıcı Ağları; IP Üzerinde Ses İletişim Protokolleri; Bilgi Erişim Sistemlerinde Araştırma: Metinden Bilgi Çıkarımı; Metin Sınıflandırma; Kümeleme; Yüksek Boyutlu Uzaylarda Öğrenme; Veri İşlemede Araştırma: Veri Ön İşleme; Kural Tabanlı Sınıflandırma; Kümeleme, Tahmin, İşbirlikçi Filtreleme; Yapay Zeka ve Bulanık Sistemlerde Araştırma: Uzman Sistemler; Yaklaşık Sonuçlandırma; Bulanık Mantık; Bulanık Sonuçlandırma; Bulanık Karar Sistemleri; Fonksiyon Yakınsama; Zaman Serisi Kestirimi.
---
"
BİM485,Research in Computer Science I (Bilgisayar Bilimlerinde Araştırma I),2024-2025,GÜZ,"DERS KODU: BİM485 | DERS ADI: Research in Computer Science I (Bilgisayar Bilimlerinde Araştırma I)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 24/0
- DETAYLI İÇERİK: Öğrencilere Bilgisayar Bilimleri alanında yapılan akademik çalışmaklara yatkınlık kazandırmak hedeflenmektedir. Bunun için öğrenciler danışmanlarının belirlediği akademik bir projede rol alırlar. Bilgisayar Ağlarında Araştırma: Teke Tek İletişim Ağları; Örtü Ağları; Service Kalite Protokolleri; Algılayıcı Ağları; IP Üzerinde Ses İletişim Protokolleri; Bilgi Erişim Sistemlerinde Araştırma: Metinden Bilgi Çıkarımı; Metin Sınıflandırma; Kümeleme; Yüksek Boyutlu Uzaylarda Öğrenme; Veri İşlemede Araştırma: Veri Ön İşleme; Kural Tabanlı Sınıflandırma; Kümeleme, Tahmin, İşbirlikçi Filtreleme; Yapay Zeka ve Bulanık Sistemlerde Araştırma: Uzman Sistemler; Yaklaşık Sonuçlandırma; Bulanık Mantık; Bulanık Sonuçlandırma; Bulanık Karar Sistemleri; Fonksiyon Yakınsama; Zaman Serisi Kestirimi.
---
"
BİM203,Mantık Tasarımı,2024-2025,GÜZ,"DERS KODU: BİM203 | DERS ADI: Mantık Tasarımı
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 3, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 9999/2
- DETAYLI İÇERİK: Sayısal Sistemler ve Bilgi: Sayı sistemleri, Aritmetik operasyonlar, Taban dönüşümleri; Kapı Devreleri ve Boolean Eşitlikleri: İkili mantık ve kapılar, Boolean cebri, Standart formlar; Devre Optimizasyonu: Maliyet ölçütleri, Karnaugh haritaları; Uygulama Teknolojisi ve Mantık Tasarımı: Tasarım süreci, Eşleştirme; Birleşimsel Fonksiyonlar: Kodlayıcı, Kod çözücü, Kaynak seçici; Aritmetik Fonksiyonlar: Toplama, Çıkarma, Çarpma, Bölme, İşaretli sayılar; Depolama Elemanları: Latchler, Flip-floplar; Ardışıl Devre Analizi; Durum tabloları, Durum diyagramları, Mealy ve Moore modelleri; Ardışıl Devre Tasarımı; Sayaçlar ve Yazmaçlar.
---
"
BİM203,Logic Design (Mantık Tasarımı),2024-2025,GÜZ,"DERS KODU: BİM203 | DERS ADI: Logic Design (Mantık Tasarımı)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 3, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 9999/2
- DETAYLI İÇERİK: Sayısal Sistemler ve Bilgi: Sayı sistemleri, Aritmetik operasyonlar, Taban dönüşümleri; Kapı Devreleri ve Boolean Eşitlikleri: İkili mantık ve kapılar, Boolean cebri, Standart formlar; Devre Optimizasyonu: Maliyet ölçütleri, Karnaugh haritaları; Uygulama Teknolojisi ve Mantık Tasarımı: Tasarım süreci, Eşleştirme; Birleşimsel Fonksiyonlar: Kodlayıcı, Kod çözücü, Kaynak seçici; Aritmetik Fonksiyonlar: Toplama, Çıkarma, Çarpma, Bölme, İşaretli sayılar; Depolama Elemanları: Latchler, Flip-floplar; Ardışıl Devre Analizi; Durum tabloları, Durum diyagramları, Mealy ve Moore modelleri; Ardışıl Devre Tasarımı; Sayaçlar ve Yazmaçlar.
---
"
FİZ106,Physics II (Fizik II),2024-2025,BAHAR,"DERS KODU: FİZ106 | DERS ADI: Physics II (Fizik II)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 2, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 61/0
- DETAYLI İÇERİK: Elektrik Alanlar: Elektrik yükü, Coulomb yasası, Elektrik akı, Gauss yasası; Elektrik Potansiyel: Potansiyel farkı, Potansiyel enerji, Elektrik potansiyelden elektrik alanın elde edilmesi; Kondansatörler: Sığanın tanımı ve hesaplanması, Dielektrikli kondansatörler, Yüklü kondansatörlerde depolanan enerji, Bir dış elektrik alanda elektrik dipol; Elektrik Akımı; Magnetik Alan: Magnetik alan kaynakları, Elektromagnetik indüksiyon.
---
"
BİM492,Tasarım Desenleri,2024-2025,BAHAR,"DERS KODU: BİM492 | DERS ADI: Tasarım Desenleri
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 70/0
- DETAYLI İÇERİK: Tasarım Desenlerinin Temel Öğeleri: Desen Adı, Problem, Çözüm, Sonuç; Nesne Tabanlı Tasarım Prensipleri: Polimorfizm, Soyutlama, Sınıf, Kapsülleme; Gözlemleme Deseni; Kalıp Deseni; Fabrika Deseni; Tekli Desen; Tekrarlama Deseni; Birleşik Desen; Yanıltıcı Desen; Durum ve Strateji Deseni, İzleç ve Komut Deseni; Proxy Deseni; Uyarlama Deseni, Dekoratör Deseni; Sorumluluk Yönetim Zinciri Deseni.
---
"
BİM492,Design Patterns (Tasarım Desenleri),2024-2025,BAHAR,"DERS KODU: BİM492 | DERS ADI: Design Patterns (Tasarım Desenleri)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 70/0
- DETAYLI İÇERİK: Tasarım Desenlerinin Temel Öğeleri: Desen Adı, Problem, Çözüm, Sonuç; Nesne Tabanlı Tasarım Prensipleri: Polimorfizm, Soyutlama, Sınıf, Kapsülleme; Gözlemleme Deseni; Kalıp Deseni; Fabrika Deseni; Tekli Desen; Tekrarlama Deseni; Birleşik Desen; Yanıltıcı Desen; Durum ve Strateji Deseni, İzleç ve Komut Deseni; Proxy Deseni; Uyarlama Deseni, Dekoratör Deseni; Sorumluluk Yönetim Zinciri Deseni.
---
"
BİM209,Principles of Software Design and Development (Yazılım Tasarlama ve Geliştirme Prensipleri),2024-2025,GÜZ,"DERS KODU: BİM209 | DERS ADI: Principles of Software Design and Development (Yazılım Tasarlama ve Geliştirme Prensipleri)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 3, KREDİ: 6.0
- KONTENJAN (Toplam/Birim İçi): 9999/2
- DETAYLI İÇERİK: Nesneye Yönelik Programlama Kavramları; Nesneye Yönelik Tasarım İlkeleri; Gereksinim Analizi; İşlevsellik Analizi; Yazınsal Analiz; Etki Alanı Analizi; Ortaklık Analizi; Yüksek Bağıntı ve Gevşek Bağlaşım Kavramları; UML Diyagramları; Sınıf Diyagramları; Kullanım Senaryosu Diyagramları; Yazılım Mimarisi; Test Güdümlü Geliştirme; Özellik Güdümlü Geliştirme; Test Senaryosu Yazma; Savunmalı Programlama.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 6/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM444,Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları),2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 6/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM444,Bilgisayar Mühendisliği Uygulamaları,2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Bilgisayar Mühendisliği Uygulamaları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 6/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 6/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
İŞL101,Genel İşletme,2024-2025,GÜZ,"DERS KODU: İŞL101 | DERS ADI: Genel İşletme
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 35/26
- DETAYLI İÇERİK: Giriş ve Genel Bilgiler: Temel kavramlar, İşletme amaçları ve türleri, İşletme sistemi ve dış çevresi; İşletmelerin Kuruluşu: İlk kuruluş çalışmaları, Kuruluş aşamaları, Yapılabilirlik kararı; İşletmelerin Hukuki Yapıları: Özel işletmeler, Kamu işletmeleri, İşletmelerin birleşmeleri, Yabancı sermayeli işletmeler, Çok uluslu işletmeler, Küresel işletmeler; İşletmelerin İşlevleri: Yönetim işlevi, Pazarlama işlevi, Finans işlevi, İnsan kaynakları işlevi, Muhasebe işlevi, Halkla ilişkiler işlevi, Araştırma ve geliştirme işlevi; İşletmelerde Sayısal Karar Modelleri: Karar türleri, Karar ortamları, Başlıca sayısal karar türleri.
---
"
İŞL101,Introduction to Business (Genel İşletme),2024-2025,GÜZ,"DERS KODU: İŞL101 | DERS ADI: Introduction to Business (Genel İşletme)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 35/26
- DETAYLI İÇERİK: Giriş ve Genel Bilgiler: Temel kavramlar, İşletme amaçları ve türleri, İşletme sistemi ve dış çevresi; İşletmelerin Kuruluşu: İlk kuruluş çalışmaları, Kuruluş aşamaları, Yapılabilirlik kararı; İşletmelerin Hukuki Yapıları: Özel işletmeler, Kamu işletmeleri, İşletmelerin birleşmeleri, Yabancı sermayeli işletmeler, Çok uluslu işletmeler, Küresel işletmeler; İşletmelerin İşlevleri: Yönetim işlevi, Pazarlama işlevi, Finans işlevi, İnsan kaynakları işlevi, Muhasebe işlevi, Halkla ilişkiler işlevi, Araştırma ve geliştirme işlevi; İşletmelerde Sayısal Karar Modelleri: Karar türleri, Karar ortamları, Başlıca sayısal karar türleri.
---
"
PZL302,Pazarlama Yönetimi,2024-2025,GÜZ,"DERS KODU: PZL302 | DERS ADI: Pazarlama Yönetimi
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 35/30
- DETAYLI İÇERİK: Pazarlama Kavramı: Pazarlamanın gelişim aşamaları, Pazarlama fonksiyonları, Pazarlamanın çevre koşulları, Pazarlama bilgi sistemi ve pazarlama araştırmaları, Pazar kavramı, Pazar bölümleme ve hedef pazar seçimi, Tüketici ve endüstriyel Pazarlarda satınalma davranışları, Mamül, Fiyat, Dağıtım kanalları ve fiziksel dağıtım, Satış artırıcı çabalar, Uluslararası pazarlama.
---
"
PZL302,Marketing Management (Pazarlama Yönetimi),2024-2025,GÜZ,"DERS KODU: PZL302 | DERS ADI: Marketing Management (Pazarlama Yönetimi)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 35/30
- DETAYLI İÇERİK: Pazarlama Kavramı: Pazarlamanın gelişim aşamaları, Pazarlama fonksiyonları, Pazarlamanın çevre koşulları, Pazarlama bilgi sistemi ve pazarlama araştırmaları, Pazar kavramı, Pazar bölümleme ve hedef pazar seçimi, Tüketici ve endüstriyel Pazarlarda satınalma davranışları, Mamül, Fiyat, Dağıtım kanalları ve fiziksel dağıtım, Satış artırıcı çabalar, Uluslararası pazarlama.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM437,Bilgisayar Mühendisliği için Tasarım,2024-2025,BAHAR,"DERS KODU: BİM437 | DERS ADI: Bilgisayar Mühendisliği için Tasarım
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 3/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,GÜZ,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM437,Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım),2024-2025,BAHAR,"DERS KODU: BİM437 | DERS ADI: Computer Engineering Design (Bilgisayar Mühendisliği için Tasarım)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.0
- KONTENJAN (Toplam/Birim İçi): 3/0
- DETAYLI İÇERİK: Bilgisayar Mühendisliği Konularından Seçmeler: Programal dilleri, Yönetim bilişim sistemleri, Yazılım mühendisliği, Parallel ve dağıtık sistemler, Proje yönetimi, Algoritma analizi, Yazay sinir ağları sinyaller ve sistemler ve mikroişlemciler gibi konuların günlük hayat problemlerine uygulanması ve bir tasarım gerçeklemesi; Özgün Yazılımlar ve Uygulamalara İlişkin Seminerler.
---
"
BİM444,Bilgisayar Mühendisliği Uygulamaları,2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Bilgisayar Mühendisliği Uygulamaları
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM447,Introduction to Deep Learning (Derin Öğrenmeye Giriş),2024-2025,BAHAR,"DERS KODU: BİM447 | DERS ADI: Introduction to Deep Learning (Derin Öğrenmeye Giriş)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 72/0
- DETAYLI İÇERİK: Algılayıcı: Algılayıcı öğrenme algoritması; Aktivasyon Fonksiyonları; Gradyan İniş Algoritması; İleri Beslemeli Sinir Ağları; Geri Yayılım Yöntemi: Toplu öğrenme, Mini toplu öğrenme, Stokastik öğrenme; Derin Sinir Ağları; Derin Evrişimli Sinir Ağları: Evrişim katmanı, Havuzlama katmanı, İki boyutlu ve üç boyutlu evrişimli sinir ağları; Tekrarlayan Sinir Ağları: Uzun kısa süreli bellek; Otomatik Kodlayıcılar; Aşırı Uyum; Düzenlileştirme; Normalleştirme.
---
"
BİM444,Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları),2024-2025,BAHAR,"DERS KODU: BİM444 | DERS ADI: Computer Engineering Applications (Bilgisayar Mühendisliği Uygulamaları)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/BAHAR
- YARIYIL: 8, KREDİ: 7.0
- KONTENJAN (Toplam/Birim İçi): 8/0
- DETAYLI İÇERİK: Bilgisayar Yazılımı ve Donanımı Konularından Elde Edilen Bilgilerin Bir Araya Getirilerek Günlük Hayat Problemlerine Uygulanması; Gerekli Bilgisayar Sisteminin Analiz, Tasarım ve Gerçeklemesi; Gerceklenen Yazılım/Donanım Sisteminin Test Edilmesi, Raporlanması ve Sunumu.
---
"
BİM485,Research in Computer Science I (Bilgisayar Bilimlerinde Araştırma I),2024-2025,GÜZ,"DERS KODU: BİM485 | DERS ADI: Research in Computer Science I (Bilgisayar Bilimlerinde Araştırma I)
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 1/0
- DETAYLI İÇERİK: Öğrencilere Bilgisayar Bilimleri alanında yapılan akademik çalışmaklara yatkınlık kazandırmak hedeflenmektedir. Bunun için öğrenciler danışmanlarının belirlediği akademik bir projede rol alırlar. Bilgisayar Ağlarında Araştırma: Teke Tek İletişim Ağları; Örtü Ağları; Service Kalite Protokolleri; Algılayıcı Ağları; IP Üzerinde Ses İletişim Protokolleri; Bilgi Erişim Sistemlerinde Araştırma: Metinden Bilgi Çıkarımı; Metin Sınıflandırma; Kümeleme; Yüksek Boyutlu Uzaylarda Öğrenme; Veri İşlemede Araştırma: Veri Ön İşleme; Kural Tabanlı Sınıflandırma; Kümeleme, Tahmin, İşbirlikçi Filtreleme; Yapay Zeka ve Bulanık Sistemlerde Araştırma: Uzman Sistemler; Yaklaşık Sonuçlandırma; Bulanık Mantık; Bulanık Sonuçlandırma; Bulanık Karar Sistemleri; Fonksiyon Yakınsama; Zaman Serisi Kestirimi.
---
"
BİM485,Bilgisayar Bilimlerinde Araştırma I,2024-2025,GÜZ,"DERS KODU: BİM485 | DERS ADI: Bilgisayar Bilimlerinde Araştırma I
- ÖĞRETİM YILI/DÖNEM: 2024-2025/GÜZ
- YARIYIL: 7, KREDİ: 4.5
- KONTENJAN (Toplam/Birim İçi): 1/0
- DETAYLI İÇERİK: Öğrencilere Bilgisayar Bilimleri alanında yapılan akademik çalışmaklara yatkınlık kazandırmak hedeflenmektedir. Bunun için öğrenciler danışmanlarının belirlediği akademik bir projede rol alırlar. Bilgisayar Ağlarında Araştırma: Teke Tek İletişim Ağları; Örtü Ağları; Service Kalite Protokolleri; Algılayıcı Ağları; IP Üzerinde Ses İletişim Protokolleri; Bilgi Erişim Sistemlerinde Araştırma: Metinden Bilgi Çıkarımı; Metin Sınıflandırma; Kümeleme; Yüksek Boyutlu Uzaylarda Öğrenme; Veri İşlemede Araştırma: Veri Ön İşleme; Kural Tabanlı Sınıflandırma; Kümeleme, Tahmin, İşbirlikçi Filtreleme; Yapay Zeka ve Bulanık Sistemlerde Araştırma: Uzman Sistemler; Yaklaşık Sonuçlandırma; Bulanık Mantık; Bulanık Sonuçlandırma; Bulanık Karar Sistemleri; Fonksiyon Yakınsama; Zaman Serisi Kestirimi.
---
"
